,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,GH2-,,,,,,,,,,,,,,,,,,,,,
site_name,Good Harbor andesite 2,,,,,,,,,,,,,,,,,,,,,
site_lat,47.732567,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-90.435239,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,198.178223,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1b,sun compass orientation,0,57,60.0,0.0,0.0,no,65,-5,2020,7,10,12,38,1.0,nan,49.6,[357.49452759851897; 73.62636013927366; 56449.2712037218],-2.505472401481029,-7.399999999999999,49.6,nan
2b,sun compass orientation,0,60,55.0,0.0,0.0,no,68,-5,2020,7,10,12,41,1.0,nan,54.1,[357.49452731108767; 73.62635978590819; 56449.270543743885],-2.5054726889123344,-5.899999999999999,54.1,nan
3b,sun compass orientation,0,58,53.0,0.0,0.0,no,64,-5,2020,7,10,12,43,1.0,nan,51.1,[357.49452711946685; 73.62635955033122; 56449.27010375863],-2.505472880533148,-6.899999999999999,51.1,nan
4b,sun compass orientation,0,57,44.0,0.0,0.0,no,62,-5,2020,7,10,12,45,1.0,nan,50.2,[357.494526927846; 73.62635931475424; 56449.26966377335],-2.505473072154018,-6.799999999999997,50.2,nan
5b,sun compass orientation,0,52,50.0,0.0,0.0,no,56,-5,2020,7,10,12,47,1.0,nan,45.2,[357.4945267362251; 73.62635907917726; 56449.269223788055],-2.5054732637748884,-6.799999999999997,45.2,nan
6b,sun compass orientation,0,54,46.0,0.0,0.0,no,57,-5,2020,7,10,12,49,1.0,nan,47.3,[357.4945265446043; 73.62635884360023; 56449.26878380277],-2.505473455395702,-6.700000000000003,47.3,nan
7b,sun compass orientation,0,51,51.0,0.0,0.0,no,53,-5,2020,7,10,12,51,1.0,nan,44.3,[357.4945263529834; 73.62635860802328; 56449.268343817515],-2.505473647016572,-6.700000000000003,44.3,nan
8b,sun compass orientation,0,58,47.0,0.0,0.0,no,59,-5,2020,7,10,12,53,1.0,nan,51.4,[357.49452616136256; 73.62635837244628; 56449.26790383224],-2.5054738386374424,-6.600000000000001,51.4,nan
